Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,CamelKPropertyFileModelineDeprecatedRefactorTest,0,0,6,0,50,6,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\CamelKPropertyFileModelineDeprecatedRefactorTest.java,42
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,InvalidEnumQuickfixTest,0,0,2,0,14,2,0,1,-1.0,0,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\InvalidEnumQuickfixTest.java,37
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfixTest,0,0,6,0,49,6,0,1,-1.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfixTest.java,45
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentIdsCompletionsFuture,2,0,2,2,18,2,0,0,0.0,0,4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentIdsCompletionsFuture.java,29
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionNamesCompletionFuture,4,0,4,2,42,6,0,0,0.0,0,6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionNamesCompletionFuture.java,33
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionValuesCompletionsFuture,3,0,4,2,49,10,0,0,0.0,0,6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionValuesCompletionsFuture.java,35
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentSchemesCompletionsFuture,4,0,4,2,43,6,0,0,0.0,0,6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentSchemesCompletionsFuture.java,35
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelEndpointCompletionProcessor,5,1,3,2,35,6,0,0,0.0,1,6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelEndpointCompletionProcessor.java,37
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelOptionNamesCompletionsFuture,8,0,14,2,166,29,0,0,0.0,0,9,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelOptionNamesCompletionsFuture.java,50
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelOptionValuesCompletionsFuture,4,0,5,2,104,15,0,0,0.0,0,7,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelOptionValuesCompletionsFuture.java,42
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelPropertiesCompletionProcessor,2,0,2,2,15,3,0,0,0.0,0,3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelPropertiesCompletionProcessor.java,33
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompletionItemCreator,0,0,2,1,19,3,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CompletionItemCreator.java,23
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompletionResolverUtils,0,0,4,3,45,11,0,0,-1.0,17,4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CompletionResolverUtils.java,38
camel-language-server,com.github.cameltooling.lsp.internal.completion,FilterPredicateUtils,0,0,5,4,71,10,0,0,-1.0,11,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\FilterPredicateUtils.java,28
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletTemplateIdCompletionProvider,1,0,3,2,31,5,0,0,0.0,0,3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\KameletTemplateIdCompletionProvider.java,34
camel-language-server,com.github.cameltooling.lsp.internal.completion,PomCompletionProcessor,3,0,5,2,89,13,0,0,0.0,0,3,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\PomCompletionProcessor.java,34
camel-language-server,com.github.cameltooling.lsp.internal.completion,VSCodeTasksCompletionProcessor,1,0,5,2,69,12,0,0,0.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\VSCodeTasksCompletionProcessor.java,41
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,2,1,12,0,102,12,0,0,0.8333333333333334,1,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java,40
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionInsertAndReplaceTest,0,0,2,0,31,3,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionInsertAndReplaceTest.java,36
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionRobustnessTest,0,0,1,0,6,1,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionRobustnessTest.java,28
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionBooleanValuesTest,0,0,2,0,18,5,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionBooleanValuesTest.java,36
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionEnumerationValuesTest,0,0,3,0,15,3,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionEnumerationValuesTest.java,38
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionsCompletionsTest,0,0,9,0,60,9,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionsCompletionsTest.java,40
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelDeprecationIndicatorInCompletionTest,0,0,3,0,22,3,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelDeprecationIndicatorInCompletionTest.java,36
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelEndpointOptionDuplicateTest,0,0,2,1,20,4,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelEndpointOptionDuplicateTest.java,38
